Worst 5%,Move Count,elo_bucket
36.11%,205,1575
41.61%,218,1625
31.49%,263,1650
36.09%,583,1675
30.99%,255,1700
29.46%,1171,1725
34.46%,293,1750
42.68%,300,1775
30.51%,745,1825
33.11%,864,1850
31.38%,1427,1875
28.40%,474,1900
25.49%,880,1925
32.64%,926,1950
27.53%,1366,1975
21.53%,2016,2000
21.29%,1317,2025
23.78%,2218,2050
16.41%,783,2075
19.33%,259,2100
25.18%,439,2125
22.63%,932,2150
20.79%,2151,2175
22.65%,1483,2200
22.52%,351,2225
17.83%,1615,2250
18.33%,1408,2275
18.93%,1873,2300
17.63%,1794,2325
16.16%,2152,2350
16.51%,2640,2375
14.61%,3317,2400
15.05%,2127,2425
14.55%,1792,2450
14.97%,1245,2475
13.82%,1840,2500
13.40%,2416,2525
13.63%,1027,2550
11.90%,895,2575
10.96%,1027,2600
10.93%,3341,2625
11.76%,1387,2650
10.39%,2135,2675
9.45%,1069,2700
10.22%,2676,2725
9.05%,2253,2750
12.34%,2348,2775
8.03%,1194,2800
5.95%,380,2825
