elo_bucket,Worst 5%,Move Count,result_type
1575,39.53%,112,decisive
1575,30.50%,93,draw
1625,41.61%,218,decisive
1650,30.58%,182,decisive
1650,37.36%,81,draw
1675,38.06%,494,decisive
1675,26.28%,89,draw
1700,41.69%,156,decisive
1700,19.64%,99,draw
1725,32.30%,718,decisive
1725,24.44%,453,draw
1750,33.79%,282,decisive
1750,42.93%,11,draw
1775,44.99%,282,decisive
1775,7.64%,18,draw
1825,29.99%,452,decisive
1825,31.20%,293,draw
1850,37.07%,599,decisive
1850,21.82%,265,draw
1875,32.87%,1095,decisive
1875,22.05%,332,draw
1900,26.67%,339,decisive
1900,35.69%,135,draw
1925,26.02%,608,decisive
1925,23.61%,272,draw
1950,30.96%,490,decisive
1950,35.64%,436,draw
1975,29.71%,999,decisive
1975,21.45%,367,draw
2000,23.58%,1208,decisive
2000,19.28%,808,draw
2025,22.88%,575,decisive
2025,19.78%,742,draw
2050,25.73%,1526,decisive
2050,19.95%,692,draw
2075,18.00%,370,decisive
2075,14.08%,413,draw
2100,22.07%,125,decisive
2100,16.95%,134,draw
2125,22.50%,433,decisive
2125,32.72%,6,draw
2150,23.38%,641,decisive
2150,16.41%,291,draw
2175,24.38%,1346,decisive
2175,17.58%,805,draw
2200,26.35%,887,decisive
2200,17.96%,596,draw
2225,29.16%,214,decisive
2225,15.37%,137,draw
2250,21.34%,947,decisive
2250,14.22%,668,draw
2275,19.46%,817,decisive
2275,15.14%,591,draw
2300,21.60%,1048,decisive
2300,13.06%,825,draw
2325,18.81%,1069,decisive
2325,17.11%,725,draw
2350,16.87%,1387,decisive
2350,15.80%,765,draw
2375,22.37%,1320,decisive
2375,12.15%,1320,draw
2400,15.91%,1714,decisive
2400,12.96%,1603,draw
2425,17.03%,1201,decisive
2425,11.32%,926,draw
2450,14.71%,1105,decisive
2450,13.48%,687,draw
2475,18.54%,432,decisive
2475,11.88%,813,draw
2500,16.30%,751,decisive
2500,10.82%,1089,draw
2525,15.01%,1500,decisive
2525,11.45%,916,draw
2550,15.76%,593,decisive
2550,10.75%,434,draw
2575,12.38%,361,decisive
2575,11.41%,534,draw
2600,15.06%,511,decisive
2600,6.94%,516,draw
2625,12.53%,1527,decisive
2625,10.43%,1814,draw
2650,15.71%,626,decisive
2650,9.46%,761,draw
2675,17.53%,526,decisive
2675,8.30%,1609,draw
2700,12.80%,279,decisive
2700,7.97%,790,draw
2725,13.15%,1069,decisive
2725,8.76%,1607,draw
2750,11.36%,759,decisive
2750,7.84%,1494,draw
2775,14.52%,1283,decisive
2775,8.55%,1065,draw
2800,9.68%,544,decisive
2800,6.28%,650,draw
2825,3.52%,178,decisive
2825,11.36%,202,draw
