N,PreN,PreNLength,NumGames,PctScore,DrawPct
5,1.c4 c5 2.g3 g6 3.Bg2 Bg7 4.Nc3 Nc6,35,1731,0.532062,0.435586
5,1.c4 c5 2.g3 Nc6 3.Bg2 g6 4.Nc3 Bg7,35,1288,0.517468,0.427795
5,1.c4 c5 2.Nc3 g6 3.g3 Bg7 4.Bg2 Nc6,35,1010,0.509405,0.472277
5,1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7,35,2045,0.529584,0.500733
5,1.c4 c6 2.e4 d5 3.exd5 cxd5 4.d4 Nf6,36,1378,0.565312,0.460087
5,1.c4 e5 2.g3 Nc6 3.Bg2 g6 4.Nc3 Bg7,35,1292,0.544891,0.366873
5,1.c4 e5 2.g3 Nf6 3.Bg2 d5 4.cxd5 Nxd5,37,2604,0.560291,0.398617
6,1.c4 e5 2.g3 Nf6 3.Bg2 d5 4.cxd5 Nxd5 5.Nc3 Nb6,47,1418,0.556064,0.4055
7,1.c4 e5 2.g3 Nf6 3.Bg2 d5 4.cxd5 Nxd5 5.Nc3 Nb6 6.Nf3 Nc6,57,1099,0.55414,0.420382
6,1.c4 e5 2.g3 Nf6 3.Bg2 d5 4.cxd5 Nxd5 5.Nf3 Nc6,47,1036,0.576254,0.399613
5,1.c4 e5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7,35,1849,0.545429,0.408328
5,1.c4 e5 2.Nc3 Nf6 3.g3 d5 4.cxd5 Nxd5,37,1252,0.525559,0.421725
6,1.c4 e5 2.Nc3 Nf6 3.g3 d5 4.cxd5 Nxd5 5.Bg2 Nb6,47,1143,0.523184,0.425196
5,1.c4 e5 2.Nc3 Nf6 3.Nf3 Nc6 4.e3 Bb4,36,1257,0.533015,0.375497
5,1.c4 e5 2.Nc3 Nf6 3.Nf3 Nc6 4.g3 d5,35,1163,0.538693,0.444539
6,1.c4 e5 2.Nc3 Nf6 3.Nf3 Nc6 4.g3 d5 5.cxd5 Nxd5,47,1159,0.539257,0.445211
5,1.c4 e6 2.g3 d5 3.Bg2 Nf6 4.Nf3 Be7,35,1517,0.558998,0.410019
6,1.c4 e6 2.g3 d5 3.Bg2 Nf6 4.Nf3 Be7 5.0-0 0-0,45,1205,0.554771,0.415767
5,1.c4 e6 2.Nc3 d5 3.d4 Nf6 4.cxd5 exd5,37,1552,0.608247,0.389175
5,1.c4 Nf6 2.g3 g6 3.Bg2 Bg7 4.Nc3 0-0,36,1830,0.55,0.338251
5,1.c4 Nf6 2.Nc3 e6 3.e4 d5 4.e5 d4,33,1046,0.58652,0.404397
6,1.c4 Nf6 2.Nc3 e6 3.e4 d5 4.e5 d4 5.exf6 dxc3,45,1039,0.585178,0.406159
5,1.c4 Nf6 2.Nc3 g6 3.e4 d6 4.d4 Bg7,34,2821,0.601559,0.318326
5,1.c4 Nf6 2.Nc3 g6 3.g3 Bg7 4.Bg2 0-0,36,2874,0.555845,0.351774
5,1.d4 d5 2.Bf4 Nf6 3.e3 c5 4.c3 Nc6,34,1115,0.536322,0.333632
5,1.d4 d5 2.c4 c6 3.cxd5 cxd5 4.Bf4 Nc6,37,1421,0.540464,0.479943
6,1.d4 d5 2.c4 c6 3.cxd5 cxd5 4.Bf4 Nc6 5.e3 Nf6,46,1041,0.551873,0.494716
5,1.d4 d5 2.c4 c6 3.cxd5 cxd5 4.Nc3 Nc6,37,1272,0.517295,0.745283
5,1.d4 d5 2.c4 c6 3.cxd5 cxd5 4.Nc3 Nf6,37,3968,0.512474,0.704889
6,1.d4 d5 2.c4 c6 3.cxd5 cxd5 4.Nc3 Nf6 5.Bf4 Nc6,47,1665,0.527927,0.605405
6,1.d4 d5 2.c4 c6 3.cxd5 cxd5 4.Nc3 Nf6 5.Nf3 Nc6,47,1755,0.499145,0.845584
5,1.d4 d5 2.c4 c6 3.cxd5 cxd5 4.Nf3 Nf6,37,1243,0.517296,0.775543
6,1.d4 d5 2.c4 c6 3.cxd5 cxd5 4.Nf3 Nf6 5.Nc3 Nc6,47,1126,0.515541,0.778863
5,1.d4 d5 2.c4 c6 3.Nc3 Nf6 4.cxd5 cxd5,37,2042,0.543584,0.581782
6,1.d4 d5 2.c4 c6 3.Nc3 Nf6 4.cxd5 cxd5 5.Bf4 Nc6,47,1324,0.561555,0.532477
5,1.d4 d5 2.c4 c6 3.Nc3 Nf6 4.e3 a6,33,2502,0.571942,0.440447
5,1.d4 d5 2.c4 c6 3.Nc3 Nf6 4.e3 e6,33,5197,0.573503,0.431595
6,1.d4 d5 2.c4 c6 3.Nc3 Nf6 4.e3 e6 5.Nf3 Nbd7,44,4277,0.572714,0.426233
7,1.d4 d5 2.c4 c6 3.Nc3 Nf6 4.e3 e6 5.Nf3 Nbd7 6.Bd3 dxc4,55,1514,0.559775,0.432628
8,1.d4 d5 2.c4 c6 3.Nc3 Nf6 4.e3 e6 5.Nf3 Nbd7 6.Bd3 dxc4 7.Bxc4 b5,65,1500,0.561,0.431333
